Country,Code,year,MaternalMortRate
Afghanistan,AFG,2010,700
Afghanistan,AFG,2016,1194
Albania,ALB,1998,14
Albania,ALB,1999,4
Albania,ALB,2000,16
Albania,ALB,2001,4
Albania,ALB,2002,9
Albania,ALB,2003,2
Albania,ALB,2004,2
Albania,ALB,2005,15
Algeria,DZA,2000,204
Angola,AGO,2016,281
Argentina,ARG,1998,36
Argentina,ARG,1999,39
Argentina,ARG,2000,34
Argentina,ARG,2001,41
Argentina,ARG,2002,44
Argentina,ARG,2003,42
Argentina,ARG,2004,40
Argentina,ARG,2005,38
Argentina,ARG,2006,44
Argentina,ARG,2007,41
Argentina,ARG,2008,39
Argentina,ARG,2009,54
Argentina,ARG,2010,43
Argentina,ARG,2011,40
Argentina,ARG,2012,33
Argentina,ARG,2013,32
Argentina,ARG,2015,38
Argentina,ARG,2016,32
Armenia,ARM,1998,24
Armenia,ARM,1999,30
Armenia,ARM,2000,45
Armenia,ARM,2001,18
Armenia,ARM,2002,8
Armenia,ARM,2003,20
Armenia,ARM,2004,24
Armenia,ARM,2005,17
Armenia,ARM,2006,23
Armenia,ARM,2007,14
Armenia,ARM,2008,36
Armenia,ARM,2009,27
Armenia,ARM,2010,9
Armenia,ARM,2011,16
Armenia,ARM,2012,18
Armenia,ARM,2013,20
Armenia,ARM,2014,21
Armenia,ARM,2015,16
Armenia,ARM,2016,28
Armenia,ARM,2017,7
Australia,AUS,2000,7
Australia,AUS,2003,6
Australia,AUS,2006,5
Australia,AUS,2011,4
Australia,AUS,2012,8
Australia,AUS,2013,9
Australia,AUS,2015,3
Austria,AUT,1998,5
Austria,AUT,1999,1
Austria,AUT,2001,4
Austria,AUT,2002,6
Austria,AUT,2003,9
Austria,AUT,2004,3
Austria,AUT,2005,6
Austria,AUT,2006,9
Austria,AUT,2007,4
Austria,AUT,2008,3
Austria,AUT,2009,3
Austria,AUT,2010,1
Austria,AUT,2011,3
Austria,AUT,2012,1
Austria,AUT,2013,1
Austria,AUT,2014,8
Austria,AUT,2015,5
Austria,AUT,2016,6
Austria,AUT,2017,1
Azerbaijan,AZE,1998,34
Azerbaijan,AZE,1999,35
Azerbaijan,AZE,2000,31
Azerbaijan,AZE,2001,20
Azerbaijan,AZE,2002,16
Azerbaijan,AZE,2003,15
Azerbaijan,AZE,2004,25
Azerbaijan,AZE,2005,30
Azerbaijan,AZE,2006,36
Azerbaijan,AZE,2007,37
Azerbaijan,AZE,2008,26
Azerbaijan,AZE,2009,23
Azerbaijan,AZE,2010,16
Azerbaijan,AZE,2011,16
Azerbaijan,AZE,2012,15
Azerbaijan,AZE,2013,14
Azerbaijan,AZE,2014,14
Azerbaijan,AZE,2015,13
Azerbaijan,AZE,2016,13
Azerbaijan,AZE,2017,12
Bahrain,BHR,1998,14
Bahrain,BHR,1999,21
Bahrain,BHR,2000,13
Bahrain,BHR,2001,20
Bahrain,BHR,2002,19
Bahrain,BHR,2003,19
Bahrain,BHR,2004,18
Bahrain,BHR,2005,0
Bahrain,BHR,2006,0
Bahrain,BHR,2007,16
Bahrain,BHR,2008,16
Bahrain,BHR,2009,16
Bahrain,BHR,2010,5
Bahrain,BHR,2011,10
Bahrain,BHR,2012,10
Bahrain,BHR,2013,19
Bahrain,BHR,2014,9
Bangladesh,BGD,2001,432
Bangladesh,BGD,2011,316
Bangladesh,BGD,2017,215
Barbados,BRB,2000,26
Barbados,BRB,2001,0
Barbados,BRB,2002,54
Barbados,BRB,2003,54
Barbados,BRB,2004,27
Barbados,BRB,2005,0
Barbados,BRB,2006,28
Barbados,BRB,2007,0
Barbados,BRB,2008,58
Barbados,BRB,2009,0
Barbados,BRB,2010,0
Barbados,BRB,2011,62
Barbados,BRB,2012,31
Barbados,BRB,2013,32
Belarus,BLR,1998,28
Belarus,BLR,1999,21
Belarus,BLR,2000,23
Belarus,BLR,2001,15
Belarus,BLR,2002,19
Belarus,BLR,2003,20
Belarus,BLR,2007,7
Belarus,BLR,2008,3
Belarus,BLR,2009,1
Belarus,BLR,2010,1
Belarus,BLR,2011,1
Belarus,BLR,2013,0
Belarus,BLR,2014,1
Belgium,BEL,1998,10
Belgium,BEL,1999,5
Belgium,BEL,2000,4
Belgium,BEL,2001,11
Belgium,BEL,2002,3
Belgium,BEL,2003,6
Belgium,BEL,2004,1
Belgium,BEL,2005,3
Belgium,BEL,2006,7
Belgium,BEL,2007,6
Belgium,BEL,2008,6
Belgium,BEL,2009,5
Belgium,BEL,2010,6
Belgium,BEL,2011,6
Belgium,BEL,2012,4
Belgium,BEL,2013,2
Belgium,BEL,2014,5
Belgium,BEL,2015,3
Belize,BLZ,1998,126
Belize,BLZ,1999,28
Belize,BLZ,2000,68
Belize,BLZ,2001,40
Belize,BLZ,2002,80
Belize,BLZ,2003,13
Belize,BLZ,2004,40
Belize,BLZ,2005,133
Belize,BLZ,2006,40
Belize,BLZ,2007,27
Belize,BLZ,2008,27
Belize,BLZ,2009,53
Belize,BLZ,2010,53
Belize,BLZ,2011,0
Belize,BLZ,2012,26
Belize,BLZ,2013,0
Belize,BLZ,2014,0
Belize,BLZ,2015,0
Belize,BLZ,2016,13
Benin,BEN,2006,541
Benin,BEN,2014,512
Bhutan,BTN,2000,240
Bhutan,BTN,2005,482
Bhutan,BTN,2011,325
Bolivia,BOL,2003,316
Bolivia,BOL,2008,396
Bolivia,BOL,2012,176
Bosnia and Herzegovina,BIH,2011,6
Bosnia and Herzegovina,BIH,2014,0
Botswana,BWA,2006,173
Botswana,BWA,2007,154
Botswana,BWA,2008,202
Botswana,BWA,2009,215
Botswana,BWA,2010,209
Botswana,BWA,2011,179
Botswana,BWA,2012,208
Botswana,BWA,2013,163
Botswana,BWA,2014,201
Botswana,BWA,2015,140
Botswana,BWA,2016,167
Botswana,BWA,2017,172
Botswana,BWA,2018,158
Brazil,BRA,1998,109
Brazil,BRA,1999,113
Brazil,BRA,2000,98
Brazil,BRA,2001,67
Brazil,BRA,2002,72
Brazil,BRA,2003,77
Brazil,BRA,2004,74
Brazil,BRA,2005,78
Brazil,BRA,2006,71
Brazil,BRA,2007,79
Brazil,BRA,2008,78
Brazil,BRA,2009,72
Brazil,BRA,2010,69
Brazil,BRA,2011,66
Brazil,BRA,2012,60
Brazil,BRA,2013,58
Brazil,BRA,2014,61
Brazil,BRA,2015,64
Brazil,BRA,2016,63
Brazil,BRA,2017,62
Brazil,BRA,2018,59
Brunei Darussalam,BRN,1998,39
Brunei Darussalam,BRN,1999,0
Brunei Darussalam,BRN,2000,26
Brunei Darussalam,BRN,2001,40
Brunei Darussalam,BRN,2002,40
Brunei Darussalam,BRN,2003,41
Brunei Darussalam,BRN,2004,14
Brunei Darussalam,BRN,2005,14
Brunei Darussalam,BRN,2006,29
Brunei Darussalam,BRN,2007,15
Brunei Darussalam,BRN,2008,0
Brunei Darussalam,BRN,2009,15
Brunei Darussalam,BRN,2010,15
Brunei Darussalam,BRN,2011,0
Brunei Darussalam,BRN,2012,29
Brunei Darussalam,BRN,2013,14
Brunei Darussalam,BRN,2014,0
Brunei Darussalam,BRN,2015,30
Brunei Darussalam,BRN,2016,0
Bulgaria,BGR,1998,15
Bulgaria,BGR,1999,24
Bulgaria,BGR,2000,20
Bulgaria,BGR,2001,20
Bulgaria,BGR,2002,16
Bulgaria,BGR,2003,6
Bulgaria,BGR,2004,10
Bulgaria,BGR,2005,11
Bulgaria,BGR,2006,5
Bulgaria,BGR,2007,11
Bulgaria,BGR,2008,5
Bulgaria,BGR,2009,4
Bulgaria,BGR,2010,8
Bulgaria,BGR,2011,3
Bulgaria,BGR,2012,4
Bulgaria,BGR,2013,10
Bulgaria,BGR,2014,7
Burkina Faso,BFA,1999,570
Burkina Faso,BFA,2006,334
Burkina Faso,BFA,2010,452
Burundi,BDI,2010,785
Burundi,BDI,2017,580
Cabo Verde,CPV,2000,93
Cabo Verde,CPV,2001,43
Cabo Verde,CPV,2002,9
Cabo Verde,CPV,2003,35
Cabo Verde,CPV,2004,44
Cabo Verde,CPV,2005,18
Cabo Verde,CPV,2006,45
Cabo Verde,CPV,2007,18
Cabo Verde,CPV,2008,18
Cabo Verde,CPV,2009,63
Cabo Verde,CPV,2010,45
Cabo Verde,CPV,2011,45
Cabo Verde,CPV,2012,9
Cabo Verde,CPV,2013,36
Cabo Verde,CPV,2014,9
Cabo Verde,CPV,2015,46
Cabo Verde,CPV,2016,19
Cabo Verde,CPV,2017,47
Cambodia,KHM,1998,635
Cambodia,KHM,2000,497
Cambodia,KHM,2005,559
Cambodia,KHM,2008,548
Cambodia,KHM,2010,226
Cambodia,KHM,2014,184
Cameroon,CMR,1998,863
Cameroon,CMR,2004,778
Cameroon,CMR,2011,782
Canada,CAN,1998,4
Canada,CAN,1999,2
Canada,CAN,2000,3
Canada,CAN,2001,8
Canada,CAN,2002,4
Canada,CAN,2003,7
Canada,CAN,2004,6
Canada,CAN,2005,8
Canada,CAN,2006,7
Canada,CAN,2007,7
Canada,CAN,2008,9
Canada,CAN,2009,8
Canada,CAN,2010,6
Canada,CAN,2011,4
Canada,CAN,2012,5
Canada,CAN,2013,6
Canada,CAN,2014,5
Canada,CAN,2015,6
Chad,TCD,2004,1358
Chad,TCD,2015,1389
Chile,CHL,1998,21
Chile,CHL,1999,23
Chile,CHL,2000,19
Chile,CHL,2001,18
Chile,CHL,2002,17
Chile,CHL,2003,13
Chile,CHL,2004,17
Chile,CHL,2005,18
Chile,CHL,2006,19
Chile,CHL,2007,17
Chile,CHL,2008,15
Chile,CHL,2009,20
Chile,CHL,2011,18
Chile,CHL,2012,15
Chile,CHL,2013,17
Chile,CHL,2014,16
Chile,CHL,2015,15
Chile,CHL,2016,16
Chile,CHL,2017,10
China,CHN,1998,70
China,CHN,2000,65
China,CHN,2001,58
China,CHN,2002,55
China,CHN,2003,48
China,CHN,2004,56
China,CHN,2005,53
China,CHN,2006,52
China,CHN,2007,45
China,CHN,2008,40
China,CHN,2009,38
China,CHN,2010,35
China,CHN,2011,33
China,CHN,2012,29
China,CHN,2013,27
Colombia,COL,1998,74
Colombia,COL,1999,74
Colombia,COL,2000,84
Colombia,COL,2001,77
Colombia,COL,2003,61
Colombia,COL,2004,63
Colombia,COL,2005,60
Colombia,COL,2006,61
Colombia,COL,2007,60
Colombia,COL,2008,53
Colombia,COL,2009,60
Colombia,COL,2010,58
Colombia,COL,2011,58
Colombia,COL,2012,57
Colombia,COL,2013,48
Colombia,COL,2014,47
Colombia,COL,2015,47
Colombia,COL,2016,44
Colombia,COL,2017,44
Comoros,COM,2012,352
"Congo, Dem. Rep.",COD,2007,445
"Congo, Dem. Rep.",COD,2014,740
"Congo, Rep.",COG,2005,928
"Congo, Rep.",COG,2011,457
"Congo, Rep.",COG,2015,605
Costa Rica,CRI,1998,18
Costa Rica,CRI,1999,19
Costa Rica,CRI,2000,37
Costa Rica,CRI,2001,32
Costa Rica,CRI,2002,35
Costa Rica,CRI,2004,38
Costa Rica,CRI,2005,30
Costa Rica,CRI,2006,38
Costa Rica,CRI,2007,39
Costa Rica,CRI,2008,20
Costa Rica,CRI,2009,35
Costa Rica,CRI,2010,28
Costa Rica,CRI,2011,26
Costa Rica,CRI,2012,30
Costa Rica,CRI,2013,14
Costa Rica,CRI,2014,29
Costa Rica,CRI,2018,24
Cote d'Ivoire,CIV,2005,605
Cote d'Ivoire,CIV,2012,751
Croatia,HRV,1998,6
Croatia,HRV,1999,11
Croatia,HRV,2000,7
Croatia,HRV,2001,2
Croatia,HRV,2002,9
Croatia,HRV,2003,7
Croatia,HRV,2004,7
Croatia,HRV,2005,7
Croatia,HRV,2006,9
Croatia,HRV,2007,14
Croatia,HRV,2008,7
Croatia,HRV,2009,14
Croatia,HRV,2010,9
Croatia,HRV,2011,9
Croatia,HRV,2012,7
Croatia,HRV,2013,5
Croatia,HRV,2014,3
Croatia,HRV,2015,3
Croatia,HRV,2016,3
Cuba,CUB,1998,39
Cuba,CUB,1999,45
Cuba,CUB,2000,40
Cuba,CUB,2001,33
Cuba,CUB,2002,42
Cuba,CUB,2003,40
Cuba,CUB,2004,37
Cuba,CUB,2005,48
Cuba,CUB,2006,43
Cuba,CUB,2007,28
Cuba,CUB,2008,45
Cuba,CUB,2009,49
Cuba,CUB,2010,44
Cuba,CUB,2011,43
Cuba,CUB,2012,33
Cuba,CUB,2013,39
Cuba,CUB,2014,35
Cuba,CUB,2015,43
Cuba,CUB,2016,41
Cuba,CUB,2017,38
Cyprus,CYP,2004,0
Cyprus,CYP,2005,0
Cyprus,CYP,2006,8
Cyprus,CYP,2007,0
Cyprus,CYP,2008,8
Cyprus,CYP,2009,0
Cyprus,CYP,2010,8
Cyprus,CYP,2011,0
Cyprus,CYP,2012,0
Cyprus,CYP,2013,8
Cyprus,CYP,2014,16
Cyprus,CYP,2015,0
Cyprus,CYP,2016,0
Czechia,CZE,1998,6
Czechia,CZE,1999,7
Czechia,CZE,2000,6
Czechia,CZE,2001,3
Czechia,CZE,2002,3
Czechia,CZE,2003,4
Czechia,CZE,2004,4
Czechia,CZE,2005,3
Czechia,CZE,2006,8
Czechia,CZE,2007,3
Czechia,CZE,2008,6
Czechia,CZE,2009,3
Czechia,CZE,2010,3
Czechia,CZE,2011,2
Czechia,CZE,2012,5
Czechia,CZE,2013,1
Czechia,CZE,2014,4
Czechia,CZE,2015,2
Czechia,CZE,2016,1
Denmark,DNK,1998,3
Denmark,DNK,1999,6
Denmark,DNK,2000,0
Denmark,DNK,2001,3
Denmark,DNK,2007,3
Denmark,DNK,2008,6
Denmark,DNK,2009,6
Denmark,DNK,2010,0
Denmark,DNK,2011,3
Denmark,DNK,2012,0
Denmark,DNK,2013,2
Denmark,DNK,2014,3
Denmark,DNK,2015,0
Dominican Republic,DOM,2000,122
Dominican Republic,DOM,2001,55
Dominican Republic,DOM,2002,55
Dominican Republic,DOM,2003,76
Dominican Republic,DOM,2004,71
Dominican Republic,DOM,2005,80
Dominican Republic,DOM,2006,95
Dominican Republic,DOM,2007,84
Dominican Republic,DOM,2008,76
Dominican Republic,DOM,2009,96
Dominican Republic,DOM,2010,110
Dominican Republic,DOM,2011,95
Dominican Republic,DOM,2012,95
Dominican Republic,DOM,2013,90
Dominican Republic,DOM,2014,93
Dominican Republic,DOM,2016,94
Dominican Republic,DOM,2018,97
Ecuador,ECU,1998,46
Ecuador,ECU,1999,64
Ecuador,ECU,2000,72
Ecuador,ECU,2001,58
Ecuador,ECU,2002,46
Ecuador,ECU,2003,43
Ecuador,ECU,2004,40
Ecuador,ECU,2005,45
Ecuador,ECU,2006,42
Ecuador,ECU,2007,55
Ecuador,ECU,2009,66
Ecuador,ECU,2010,82
Ecuador,ECU,2011,80
Ecuador,ECU,2012,96
Ecuador,ECU,2013,81
Ecuador,ECU,2014,61
Ecuador,ECU,2015,66
Ecuador,ECU,2016,62
Ecuador,ECU,2017,50
Ecuador,ECU,2018,57
"Egypt, Arab Rep.",EGY,2000,27
"Egypt, Arab Rep.",EGY,2001,28
"Egypt, Arab Rep.",EGY,2002,35
"Egypt, Arab Rep.",EGY,2003,38
"Egypt, Arab Rep.",EGY,2004,29
"Egypt, Arab Rep.",EGY,2005,30
"Egypt, Arab Rep.",EGY,2006,31
"Egypt, Arab Rep.",EGY,2007,28
"Egypt, Arab Rep.",EGY,2008,21
"Egypt, Arab Rep.",EGY,2009,26
"Egypt, Arab Rep.",EGY,2010,23
"Egypt, Arab Rep.",EGY,2011,23
"Egypt, Arab Rep.",EGY,2012,21
"Egypt, Arab Rep.",EGY,2013,19
"Egypt, Arab Rep.",EGY,2014,19
"Egypt, Arab Rep.",EGY,2015,15
El Salvador,SLV,1998,26
El Salvador,SLV,1999,15
El Salvador,SLV,2000,21
El Salvador,SLV,2001,20
El Salvador,SLV,2002,22
El Salvador,SLV,2003,19
El Salvador,SLV,2004,16
El Salvador,SLV,2005,18
El Salvador,SLV,2006,17
El Salvador,SLV,2007,14
El Salvador,SLV,2008,15
El Salvador,SLV,2009,11
El Salvador,SLV,2010,14
El Salvador,SLV,2011,13
El Salvador,SLV,2012,14
Equatorial Guinea,GNQ,2011,380
Eritrea,ERI,2003,1037
Eritrea,ERI,2010,758
Estonia,EST,1998,16
Estonia,EST,1999,16
Estonia,EST,2000,39
Estonia,EST,2001,8
Estonia,EST,2002,8
Estonia,EST,2003,29
Estonia,EST,2004,28
Estonia,EST,2005,14
Estonia,EST,2006,7
Estonia,EST,2007,0
Estonia,EST,2008,0
Estonia,EST,2009,0
Estonia,EST,2010,7
Estonia,EST,2011,7
Estonia,EST,2012,7
Estonia,EST,2013,7
Estonia,EST,2014,0
Estonia,EST,2015,0
Estonia,EST,2016,14
Eswatini,SWZ,2006,420
Eswatini,SWZ,2007,1117
Ethiopia,ETH,2000,804
Ethiopia,ETH,2005,710
Ethiopia,ETH,2007,1184
Ethiopia,ETH,2011,861
Ethiopia,ETH,2016,557
Fiji,FJI,1999,5
Fiji,FJI,2001,30
Fiji,FJI,2002,15
Fiji,FJI,2003,31
Fiji,FJI,2004,0
Fiji,FJI,2005,47
Fiji,FJI,2006,37
Fiji,FJI,2007,37
Fiji,FJI,2008,21
Fiji,FJI,2009,21
Fiji,FJI,2010,29
Fiji,FJI,2011,21
Fiji,FJI,2012,42
Fiji,FJI,2013,66
Finland,FIN,1998,5
Finland,FIN,1999,3
Finland,FIN,2000,5
Finland,FIN,2001,5
Finland,FIN,2002,5
Finland,FIN,2003,3
Finland,FIN,2004,12
Finland,FIN,2005,5
Finland,FIN,2006,7
Finland,FIN,2007,2
Finland,FIN,2008,8
Finland,FIN,2009,2
Finland,FIN,2010,5
Finland,FIN,2011,0
Finland,FIN,2012,3
Finland,FIN,2013,2
Finland,FIN,2014,5
Finland,FIN,2015,4
Finland,FIN,2016,6
Finland,FIN,2017,8
France,FRA,2001,11
France,FRA,2002,9
France,FRA,2003,12
France,FRA,2004,9
France,FRA,2005,9
France,FRA,2006,8
France,FRA,2007,9
France,FRA,2008,12
France,FRA,2009,9
France,FRA,2010,9
France,FRA,2011,11
France,FRA,2012,9
France,FRA,2013,5
France,FRA,2014,5
France,FRA,2015,4
Gabon,GAB,2000,509
Gabon,GAB,2012,368
"Gambia, The",GMB,2013,595
Georgia,GEO,1998,20
Georgia,GEO,1999,14
Georgia,GEO,2000,7
Georgia,GEO,2001,8
Georgia,GEO,2004,41
Georgia,GEO,2005,17
Georgia,GEO,2007,4
Georgia,GEO,2009,57
Georgia,GEO,2013,28
Georgia,GEO,2014,31
Georgia,GEO,2016,36
Georgia,GEO,2017,24
Georgia,GEO,2018,14
Germany,DEU,1998,6
Germany,DEU,1999,5
Germany,DEU,2000,6
Germany,DEU,2001,4
Germany,DEU,2002,3
Germany,DEU,2003,4
Germany,DEU,2004,5
Germany,DEU,2005,4
Germany,DEU,2006,5
Germany,DEU,2007,4
Germany,DEU,2008,5
